Time Sent,Campaign Name,Sends,Opens,Open Rate,Mobile Open Rate,Desktop Open Rate,Clicks,Click Rate,Bounces,Bounce Rate,Unsubscribes,Unsubscribe Rate
2025/03/11 2:02 PM,[Thank You] Party for Langston,79,36,48.0%,21.4%,78.6%,9,12.0%,4,5.1%,0,0.0%
2025/03/06 11:04 AM,MBM Brackets Due 3/6/25,2389,757,43.3%,2.4%,97.6%,273,15.6%,640,26.8%,3,0.2%
2025/03/04 10:31 AM,Get Ready for March Book Madness 2025!,2414,794,44.8%,1.6%,98.4%,280,15.8%,640,26.5%,2,0.1%
2025/02/19 5:30 PM,[Reminder] Party for Langston,74,48,64.9%,2.0%,98.0%,1,1.4%,0,0.0%,0,0.0%
2025/02/07 10:30 AM,You're Invited to Party for Langston,2396,921,52.2%,2.0%,98.0%,297,16.8%,632,26.4%,2,0.1%
2024/12/30 12:30 PM,5th EOY Email 2024 (12/30) Backup,2195,736,46.9%,0.9%,99.1%,271,17.3%,627,28.6%,2,0.1%
2024/12/19 12:30 PM,4th EOY Email 2024 (12/19),2229,712,44.1%,1.1%,98.9%,273,16.9%,616,27.6%,0,0.0%
